MSFT (Microsoft Corporation),110.19,0
Nov 30 2018 @ 06:48 ET,Bid,110.29,Ask,109.87,Size,2x1,Vol,28123195
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Puts,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int
11/30/2018,MSFT181130C00065000,44.65,-1.425,45,45.5,5,6.1318,0.9627,0.0023,6,65.000,MSFT181130P00065000,0,0,0,0.14,0,3.4502,-0.0015,0.0002,0
11/30/2018,MSFT181130C00065500,0,0,42.8,47.35,0,5.876,0.9659,0.0022,0,65.500,MSFT181130P00065500,0,0,0,1.52,0,3.4287,-0.0016,0.0003,0
11/30/2018,MSFT181130C00066000,0,0,42.3,46.85,0,5.751,0.9665,0.0022,0,66.000,MSFT181130P00066000,0,0,0,4.8,0,3.4098,-0.0017,0.0003,0
11/30/2018,MSFT181130C00066500,0,0,41.55,46.15,0,5.5568,0.9685,0.0022,0,66.500,MSFT181130P00066500,0,0,0,1.52,0,3.3931,-0.0019,0.0003,0
11/30/2018,MSFT181130C00067000,0,0,41.1,45.85,0,5.5983,0.9658,0.0023,0,67.000,MSFT181130P00067000,0,0,0,2.13,0,3.2629,-0.0015,0.0003,0
11/30/2018,MSFT181130C00067500,35.56,0,40.55,44.95,0,5.8552,0.9582,0.0026,1,67.500,MSFT181130P00067500,0,0,0,2.13,0,3.2312,-0.0016,0.0003,0
11/30/2018,MSFT181130C00068000,37.47,0,40.15,44.6,0,5.6337,0.961,0.0026,1,68.000,MSFT181130P00068000,0,0,0,2.13,0,3.1385,-0.0014,0.0003,0
11/30/2018,MSFT181130C00068500,0,0,39.55,44.3,0,5.3296,0.9658,0.0024,0,68.500,MSFT181130P00068500,0,0,0,4.8,0,3.125,-0.0016,0.0003,0
11/30/2018,MSFT181130C00069000,36.55,0,39.1,43.55,0,5.4393,0.9611,0.0026,1,69.000,MSFT181130P00069000,0,0,0,4.8,0,3.113,-0.0018,0.0003,0
11/30/2018,MSFT181130C00069500,0,0,38.6,43.25,0,5.1393,0.9661,0.0025,0,69.500,MSFT181130P00069500,0,0,0,3.1,0,3.1023,-0.002,0.0003,0
